2026-01-04 08:14:58 | senseai-ml | INFO | Loading ML models...
2026-01-04 08:15:02 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 08:15:02 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 08:15:02 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 08:15:02 | senseai-ml | INFO | ==================================================
2026-01-04 08:15:02 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 08:15:02 | senseai-ml | INFO | ==================================================
2026-01-04 08:15:53 | senseai-ml | INFO | Loading ML models...
2026-01-04 08:15:56 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 08:15:56 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 08:15:56 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 08:15:56 | senseai-ml | INFO | ==================================================
2026-01-04 08:15:56 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 08:15:56 | senseai-ml | INFO | ==================================================
2026-01-04 08:23:25 | senseai-ml | INFO | Loading ML models...
2026-01-04 08:23:29 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 08:23:29 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 08:23:29 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 08:23:29 | senseai-ml | INFO | ==================================================
2026-01-04 08:23:29 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 08:23:29 | senseai-ml | INFO | ==================================================
2026-01-04 10:05:45 | senseai-ml | INFO | Loading ML models...
2026-01-04 10:05:57 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 10:05:57 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 10:05:57 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 10:05:59 | senseai-ml | INFO | ==================================================
2026-01-04 10:05:59 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 10:05:59 | senseai-ml | INFO | ==================================================
2026-01-04 10:56:15 | senseai-ml | INFO | Loading ML models...
2026-01-04 10:56:21 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 10:56:21 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 10:56:21 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 10:56:21 | senseai-ml | INFO | ==================================================
2026-01-04 10:56:21 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 10:56:21 | senseai-ml | INFO | ==================================================
2026-01-04 10:56:26 | senseai-ml | INFO | Loading ML models...
2026-01-04 10:56:30 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 10:56:30 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 10:56:30 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 10:56:30 | senseai-ml | INFO | ==================================================
2026-01-04 10:56:30 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 10:56:31 | senseai-ml | INFO | ==================================================
2026-01-04 12:04:02 | senseai-ml | INFO | Loading ML models...
2026-01-04 12:04:12 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 12:04:12 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 12:04:12 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 12:04:12 | senseai-ml | INFO | ==================================================
2026-01-04 12:04:12 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 12:04:12 | senseai-ml | INFO | ==================================================
2026-01-04 12:05:52 | senseai-ml | INFO | Loading ML models...
2026-01-04 12:06:02 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 12:06:02 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 12:06:02 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 12:06:02 | senseai-ml | INFO | ==================================================
2026-01-04 12:06:03 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 12:06:03 | senseai-ml | INFO | ==================================================
2026-01-04 12:27:30 | senseai-ml | INFO | Loading ML models...
2026-01-04 12:27:37 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-04 12:27:37 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-04 12:27:37 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-04 12:27:38 | senseai-ml | INFO | ==================================================
2026-01-04 12:27:38 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-04 12:27:38 | senseai-ml | INFO | ==================================================
2026-01-05 16:02:38 | senseai-ml | INFO | Loading ML models...
2026-01-05 16:02:56 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-05 16:02:56 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-05 16:02:56 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-05 16:02:57 | senseai-ml | INFO | ==================================================
2026-01-05 16:02:57 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-05 16:02:57 | senseai-ml | INFO | ==================================================
2026-01-06 04:04:38 | senseai-ml | INFO | Loading ML models...
2026-01-06 04:04:42 | senseai-ml | INFO | Model loaded from: asd_detection_model.pkl
2026-01-06 04:04:42 | senseai-ml | INFO | Scaler loaded: feature_scaler.pkl (expects 18 features)
2026-01-06 04:04:42 | senseai-ml | WARNING | Age norms not found: age_norms.json (age normalization disabled)
2026-01-06 04:04:43 | senseai-ml | INFO | ==================================================
2026-01-06 04:04:43 | senseai-ml | INFO | Starting SenseAI ASD ML Engine v1.0.0
2026-01-06 04:04:43 | senseai-ml | INFO | ==================================================
2026-01-06 04:05:01 | senseai-ml | INFO | Loading ML models...
